date,Instagram,isPartial
2022-07-17,99,False
2022-07-24,95,False
2022-07-31,86,False
2022-08-07,91,False
2022-08-14,95,False
2022-08-21,87,False
2022-08-28,87,False
2022-09-04,83,False
2022-09-11,82,False
2022-09-18,85,False
2022-09-25,91,False
2022-10-02,99,False
2022-10-09,86,False
2022-10-16,83,False
2022-10-23,93,False
2022-10-30,94,False
2022-11-06,88,False
2022-11-13,86,False
2022-11-20,79,False
2022-11-27,77,False
2022-12-04,77,False
2022-12-11,90,False
2022-12-18,92,False
2022-12-25,95,False
2023-01-01,88,False
2023-01-08,88,False
2023-01-15,90,False
2023-01-22,94,False
2023-01-29,91,False
2023-02-05,91,False
2023-02-12,89,False
2023-02-19,87,False
2023-02-26,90,False
2023-03-05,83,False
2023-03-12,89,False
2023-03-19,97,False
2023-03-26,90,False
2023-04-02,93,False
2023-04-09,91,False
2023-04-16,92,False
2023-04-23,93,False
2023-04-30,89,False
2023-05-07,86,False
2023-05-14,90,False
2023-05-21,94,False
2023-05-28,85,False
2023-06-04,85,False
2023-06-11,90,False
2023-06-18,92,False
2023-06-25,88,False
2023-07-02,100,False
2023-07-09,94,True
