date,Twitter,isPartial
2022-07-17,78,False
2022-07-24,77,False
2022-07-31,82,False
2022-08-07,76,False
2022-08-14,79,False
2022-08-21,74,False
2022-08-28,70,False
2022-09-04,71,False
2022-09-11,76,False
2022-09-18,71,False
2022-09-25,70,False
2022-10-02,76,False
2022-10-09,73,False
2022-10-16,69,False
2022-10-23,73,False
2022-10-30,75,False
2022-11-06,75,False
2022-11-13,73,False
2022-11-20,69,False
2022-11-27,63,False
2022-12-04,68,False
2022-12-11,75,False
2022-12-18,79,False
2022-12-25,80,False
2023-01-01,74,False
2023-01-08,71,False
2023-01-15,71,False
2023-01-22,72,False
2023-01-29,71,False
2023-02-05,72,False
2023-02-12,69,False
2023-02-19,70,False
2023-02-26,68,False
2023-03-05,66,False
2023-03-12,69,False
2023-03-19,62,False
2023-03-26,67,False
2023-04-02,72,False
2023-04-09,67,False
2023-04-16,81,False
2023-04-23,89,False
2023-04-30,80,False
2023-05-07,68,False
2023-05-14,71,False
2023-05-21,100,False
2023-05-28,73,False
2023-06-04,69,False
2023-06-11,72,False
2023-06-18,72,False
2023-06-25,83,False
2023-07-02,83,False
2023-07-09,84,True
